location_label,gender_label,age_label,user_id
Antwerpen,Female,-18,82
Antwerpen,Female,20-29,1692
Antwerpen,Female,30-39,153
Antwerpen,Female,40+,279
Antwerpen,Male,-18,113
Antwerpen,Male,20-29,1397
Antwerpen,Male,30-39,425
Antwerpen,Male,40+,962
Brussel_Wallonie,Female,-18,80
Brussel_Wallonie,Female,20-29,929
Brussel_Wallonie,Female,30-39,79
Brussel_Wallonie,Female,40+,224
Brussel_Wallonie,Male,-18,119
Brussel_Wallonie,Male,20-29,1282
Brussel_Wallonie,Male,30-39,219
Brussel_Wallonie,Male,40+,729
Limburg,Female,-18,132
Limburg,Female,20-29,852
Limburg,Female,30-39,84
Limburg,Female,40+,124
Limburg,Male,-18,212
Limburg,Male,20-29,897
Limburg,Male,30-39,213
Limburg,Male,40+,518
Oost_Vlaanderen,Female,-18,37
Oost_Vlaanderen,Female,20-29,631
Oost_Vlaanderen,Female,30-39,131
Oost_Vlaanderen,Female,40+,231
Oost_Vlaanderen,Male,-18,53
Oost_Vlaanderen,Male,20-29,719
Oost_Vlaanderen,Male,30-39,472
Oost_Vlaanderen,Male,40+,869
Other,Female,-18,62
Other,Female,20-29,1121
Other,Female,30-39,271
Other,Female,40+,610
Other,Male,-18,126
Other,Male,20-29,1822
Other,Male,30-39,700
Other,Male,40+,2125
Vlaams_Brabant,Female,-18,39
Vlaams_Brabant,Female,20-29,491
Vlaams_Brabant,Female,30-39,103
Vlaams_Brabant,Female,40+,165
Vlaams_Brabant,Male,-18,39
Vlaams_Brabant,Male,20-29,527
Vlaams_Brabant,Male,30-39,333
Vlaams_Brabant,Male,40+,689
West_Vlaanderen,Female,-18,47
West_Vlaanderen,Female,20-29,921
West_Vlaanderen,Female,30-39,77
West_Vlaanderen,Female,40+,165
West_Vlaanderen,Male,-18,55
West_Vlaanderen,Male,20-29,877
West_Vlaanderen,Male,30-39,342
West_Vlaanderen,Male,40+,775
